Month,Com-ID,Display ID,Owner,Local authority area,Postcode,Allowed vehicle type,Domain,Number of sessions,Power drawn (kWh),Number of Tickets ,Uptime
Jun-23,54215,54215,"ChargePlace Scotland, Highland Council",Highland,KW8 6HH,Any,ChargePlace Scotland,37,844.4,5,99.00%
Jun-23,51143,51143,"Argyll & Bute Council, ChargePlace Scotland",Argyll and Bute,PA66 6BL,Any,ChargePlace Scotland,34,775.77,7,100.00%
Jun-23,EFA50792,50792,"ChargePlace Scotland, Edinburgh College",City of Edinburgh,EH15 2PP,Any,ChargePlace Scotland,95,2167.54,0,97.30%
Jun-23,60496,60496,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G22 7QR,Any,ChargePlace Scotland,9,205.32,2,100.00%
Jun-23,53414,53414,"ChargePlace Scotland, North Lanarkshire Council",North Lanarkshire,ML1 1AZ,Any,ChargePlace Scotland,142,3238.98,3,96.70%
Jun-23,52274,52274,"ChargePlace Scotland, University of Edinburgh",City of Edinburgh,EH25 9RG,Any,ChargePlace Scotland,167,3808.36,1,100.00%
Jun-23,60165,60165,"ChargePlace Scotland, Clackmannanshire Council",Clackmannanshire,FK10 2DZ,Any,ChargePlace Scotland,98,2234.61,1,79.70%
Jun-23,APT51074,51074,"ChargePlace Scotland, Clackmannanshire Council",Clackmannanshire,FK11 7BA,Any,ChargePlace Scotland,148,3372.64,4,100.00%
Jun-23,51950,51950,"ChargePlace Scotland, Fife Council",Fife,KY16 0AA,Any,ChargePlace Scotland,10,227.63,0,100.00%
Jun-23,APT51596,51596,"ChargePlace Scotland, Dundee City Council",Dundee City,DD5 2HD,Any,ChargePlace Scotland,230,5232.52,0,93.20%
Jun-23,54012,54012,"ChargePlace Scotland, North Lanarkshire Council",North Lanarkshire,G67 1LA,Any,ChargePlace Scotland,18,409.42,3,100.00%
Jun-23,50334,50334,"Argyll College UHI Ltd, ChargePlace Scotland",Argyll and Bute,PA34 4RY,Any,ChargePlace Scotland,17,386.24,0,100.00%
Jun-23,51618,51618,"ChargePlace Scotland, Craigellachie Filling Station",Moray,AB38 9TB,Any,ChargePlace Scotland,19,431.45,0,99.40%
Jun-23,52226,52226,"ChargePlace Scotland, Fife Council",Fife,KY10 3JA,Any,ChargePlace Scotland,98,2224.36,2,96.40%
Jun-23,52685,52685,"ChargePlace Scotland, Falkirk Council",Falkirk,FK2 9EE,Any,ChargePlace Scotland,258,5852.83,0,87.30%
Jun-23,52956,52956,"Ayrshire Roads Alliance, ChargePlace Scotland",East Ayrshire,KA18 1LH,Any,ChargePlace Scotland,105,2380.71,1,100.00%
Jun-23,60964,60964,"ChargePlace Scotland, Dumfries and Galloway Council",Dumfries and Galloway,,Any,ChargePlace Scotland,25,566.76,0,100.00%
Jun-23,53263,53263,"ChargePlace Scotland, North Lanarkshire Council",North Lanarkshire,ML5 1JE,Any,ChargePlace Scotland,153,3465.19,0,90.80%
Jun-23,60962,60962,"ChargePlace Scotland, Dumfries and Galloway Council",Dumfries and Galloway,,Any,ChargePlace Scotland,36,815.2,0,99.10%
Jun-23,50269,50269,"ChargePlace Scotland, Dundee City Council",Dundee City,DD4 8ES,Any,ChargePlace Scotland,33,747.04,0,100.00%
Jun-23,60046,60046,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G3 8BS,Any,ChargePlace Scotland,119,2693.69,4,95.40%
Jun-23,4889,52548,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",East Lothian,EH33 1NG,Any,ChargePlace Scotland,155,3507.98,0,100.00%
Jun-23,60042,60042,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G3 8BS,Any,ChargePlace Scotland,37,836.82,0,99.10%
Jun-23,60450,60450,"ChargePlace Scotland, West Lothian Council",West Lothian,EH54 6HR,Any,ChargePlace Scotland,323,7302.17,2,91.10%
