Month,Com-ID,Display ID,Owner,Local authority area,Postcode,Domain,Number of sessions,Power drawn (kWh),Number of faults,Uptime,Display category
Jul-24,APT51425,51425,"ChargePlace Scotland, Dundee City Council",Dundee City,DD4 6BY,ChargePlace Scotland,152,3172.74,1,82.60%,Public
Jul-24,51426,51426,"ChargePlace Scotland, Dundee City Council",Dundee City,DD4 6BY,ChargePlace Scotland,222,5199.85,0,86.50%,Public
Jul-24,APT51427,51427,"ChargePlace Scotland, Dundee City Council",Dundee City,DD4 6BY,ChargePlace Scotland,34,338.28,0,100.00%,Public
Jul-24,51428,51428,"ChargePlace Scotland, Dundee City Council",Dundee City,DD4 6BY,ChargePlace Scotland,24,289.5,0,100.00%,Public
Jul-24,51429,51429,"ChargePlace Scotland, Dundee City Council",Dundee City,DD4 6BY,ChargePlace Scotland,131,3095.42,0,72.90%,Public
Jul-24,51430,51430,"ChargePlace Scotland, Clackmannanshire Council",Clackmannanshire,FK101EB,ChargePlace Scotland,21,635.6,0,100.00%,Public
Jul-24,APT51433,51433,"ChargePlace Scotland, The Park Hotel Ayrshire Ltd",East Ayrshire,KA1 1UR,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,51440,51440,"Carnoustie Golf Links Properties LTD, ChargePlace Scotland",Angus,DD7 7JE,ChargePlace Scotland,47,1010.25,1,100.00%,Public
Jul-24,APT51441,51441,"Carnoustie Golf Links Properties LTD, ChargePlace Scotland",Angus,DD7 7JE,ChargePlace Scotland,39,862.4,0,100.00%,Public
Jul-24,APT51442,51442,"Carnoustie Golf Links Properties LTD, ChargePlace Scotland",Angus,DD7 7JE,ChargePlace Scotland,39,1261.52,0,100.00%,Public
Jul-24,APT51443,51443,"ChargePlace Scotland, Canonbie Surgery",Dumfries and Galloway,DG14 0UR,ChargePlace Scotland,24,375.55,0,99.90%,Public
Jul-24,APT51444,51444,"ChargePlace Scotland, Am Sci Tech Ltd",Aberdeen City,AB228GU,ChargePlace Scotland,9,102.05,1,100.00%,Public
Jul-24,51446,51446,"ChargePlace Scotland, Lothian Buses",City of Edinburgh,,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APT51448,51448,"ChargePlace Scotland, The Homelands Trust Fife",Fife,KY8 6AT,ChargePlace Scotland,19,576.01,0,100.00%,Public
