Month,Com-ID,Display ID,Owner,Local authority area,Postcode,Domain,Number of sessions,Power drawn (kWh),Number of faults,Uptime,Display category
Apr-24,60296,60296,"ChargePlace Scotland, NHS Dumfries & Galloway",Dumfries and Galloway,DG1 4TG,ChargePlace Scotland,16,391.87,0,100.00%,Public
Apr-24,60297,60297,"ChargePlace Scotland, NHS Dumfries & Galloway",Dumfries and Galloway,DG1 4TG,ChargePlace Scotland,13,241.29,0,100.00%,Public
Apr-24,60298,60298,"ChargePlace Scotland, NHS Dumfries & Galloway",Dumfries and Galloway,DG1 4TG,ChargePlace Scotland,16,349.84,0,100.00%,Public
Apr-24,60299,60299,"ChargePlace Scotland, NHS Dumfries & Galloway",Dumfries and Galloway,DG1 4TG,ChargePlace Scotland,14,400.66,0,100.00%,Public
Apr-24,60309,60309,"ChargePlace Scotland, THE HIGHLAND COUNCIL",Highland,PH32 4DF,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,60311,60311,"Aberdeenshire Council, ChargePlace Scotland",Aberdeenshire,AB44 1RD,ChargePlace Scotland,15,337.5,1,100.00%,Public
Apr-24,60312,60312,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB42 2YD,ChargePlace Scotland,134,2913.54,1,82.00%,Public
Apr-24,60313,60313,"Aberdeenshire Council, ChargePlace Scotland",Aberdeenshire,AB42 2YD,ChargePlace Scotland,27,569.51,0,100.00%,Public
Apr-24,60314,60314,"ChargePlace Scotland, Moray Council",Moray,IV30 1RJ,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,60315,60315,"ChargePlace Scotland, Moray Council",Moray,IV30 1RJ,ChargePlace Scotland,75,1631.87,1,100.00%,Public
Apr-24,60316,60316,"ChargePlace Scotland, Moray Council",Moray,AB38 9PB,ChargePlace Scotland,96,1942.15,0,97.40%,Public
Apr-24,60317,60317,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB21 0BZ,ChargePlace Scotland,16,383.25,0,100.00%,Public
Apr-24,60318,60318,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB21 0BZ,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,60319,60319,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB21 0BZ,ChargePlace Scotland,21,600.93,1,100.00%,Public
Apr-24,60320,60320,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB21 0BZ,ChargePlace Scotland,22,416.37,1,100.00%,Public
Apr-24,60321,60321,"Aberdeenshire Council, ChargePlace Scotland",Aberdeenshire,AB33 8TY,ChargePlace Scotland,89,1768.3,0,96.00%,Public
Apr-24,60322,60322,"Aberdeenshire Council, ChargePlace Scotland",Aberdeenshire,AB33 8TY,ChargePlace Scotland,28,518.67,0,100.00%,Public
Apr-24,60323,60323,"Aberdeenshire Council, ChargePlace Scotland",Aberdeenshire,AB34 5HU,ChargePlace Scotland,137,2545.5,4,97.00%,Public
Apr-24,60326,60326,"ChargePlace Scotland, Comhairle Nan Eilean Siar",Na h-Eileanan an Iar,HS1 2PY,ChargePlace Scotland,51,961.89,1,100.00%,Public
Apr-24,60330,60330,"ChargePlace Scotland, Comhairle Nan Eilean Siar",Argyll and Bute,,ChargePlace Scotland,3,43.01,0,100.00%,Public
Apr-24,60331,60331,"ChargePlace Scotland, THE HIGHLAND COUNCIL",Highland,IV21 2BQ,ChargePlace Scotland,31,639.15,1,99.50%,Public
Apr-24,60332,60332,"ChargePlace Scotland, THE HIGHLAND COUNCIL",Highland,IV21 2BQ,ChargePlace Scotland,17,420.45,0,99.80%,Public
Apr-24,60335,60335,"ChargePlace Scotland, Moray Council",Moray,IV30 1LN,ChargePlace Scotland,214,4912.08,4,86.80%,Public
Apr-24,60342,60342,"ChargePlace Scotland, Lochcarron Community Development Company",Highland,IV54 8YS,ChargePlace Scotland,6,85.8,0,99.80%,Public
Apr-24,60353,60353,"ChargePlace Scotland, THE HIGHLAND COUNCIL",Highland,IV22 2EG,ChargePlace Scotland,67,1265.74,1,98.60%,Public
Apr-24,60362,60362,"THE HIGHLAND COUNCIL, ChargePlace Scotland",Highland,PH33 6EW,ChargePlace Scotland,297,6943.39,3,90.30%,Public
Apr-24,60363,60363,"THE HIGHLAND COUNCIL, ChargePlace Scotland",Highland,PH33 6EW,ChargePlace Scotland,258,5989.17,3,92.60%,Public
Apr-24,60364,60364,"THE HIGHLAND COUNCIL, ChargePlace Scotland",Highland,PH33 6EW,ChargePlace Scotland,45,350.43,0,100.00%,Public
Apr-24,60365,60365,"THE HIGHLAND COUNCIL, ChargePlace Scotland",Highland,PH33 6EW,ChargePlace Scotland,38,546.55,1,100.00%,Public
Apr-24,60378,60378,"ChargePlace Scotland, THE HIGHLAND COUNCIL",Highland,KW13 1UL,ChargePlace Scotland,16,326.14,0,99.60%,Public
Apr-24,60379,60379,Comhairle Nan Eilean Siar,Na h-Eileanan an Iar,HS1 2QP,ChargePlace Scotland,2,0.07,0,100.00%,Public
Apr-24,60380,60380,Comhairle Nan Eilean Siar,Na h-Eileanan an Iar,HS1 2QP,ChargePlace Scotland,2,53.19,0,100.00%,Public
Apr-24,60384,60384,"ChargePlace Scotland, NatureScot Public",Aberdeenshire,DD10 0AQ,ChargePlace Scotland,11,94.01,0,100.00%,Public
Apr-24,60391,60391,"ChargePlace Scotland, Comhairle Nan Eilean Siar",Na h-Eileanan an Iar,HS1 2LS,ChargePlace Scotland,2,57.02,0,98.10%,Public
Apr-24,60393,60393,"ChargePlace Scotland, Hillcrest Homes",Dundee City,DD4 6TQ,ChargePlace Scotland,51,1453.16,0,100.00%,Public
Apr-24,60395,60395,"ChargePlace Scotland, University of Stirling",Stirling,FK9 4LA,ChargePlace Scotland,22,321.11,0,100.00%,Public
Apr-24,60396,60396,"Sport Aberdeen, ChargePlace Scotland",Aberdeen City,AB16 5TL,ChargePlace Scotland,46,605.86,0,100.00%,Public
Apr-24,60397,60397,"ChargePlace Scotland, Falkirk Council",Falkirk,FK3 9JS,ChargePlace Scotland,102,2519.22,2,97.00%,Public
Apr-24,60398,60398,"ChargePlace Scotland, Falkirk Council",Falkirk,FK3 9JS,ChargePlace Scotland,2,28.8,0,100.00%,Public
Apr-24,60400,60400,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB41 9AE,ChargePlace Scotland,144,3345.61,0,96.10%,Public
Apr-24,60401,60401,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH16 5AL,ChargePlace Scotland,266,6395.6,6,92.30%,Public
Apr-24,60402,60402,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH16 5AL,ChargePlace Scotland,239,5673.5,2,87.00%,Public
Apr-24,60403,60403,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH16 5AL,ChargePlace Scotland,50,721.6,0,100.00%,Public
Apr-24,60404,60404,"ChargePlace Scotland, THE HIGHLAND COUNCIL",Highland,IV27 4RR,ChargePlace Scotland,19,412.45,2,99.40%,Public
Apr-24,60405,60405,"ChargePlace Scotland, NHS Highlands (Public)",Highland,IV27 4RR,ChargePlace Scotland,6,85.14,1,100.00%,Public
Apr-24,60411,60411,"ChargePlace Scotland, Falkirk Council",Falkirk,EH51 0AJ,ChargePlace Scotland,31,649.92,0,100.00%,Public
Apr-24,60412,60412,"ChargePlace Scotland, Falkirk Council",Falkirk,EH51 9QB,ChargePlace Scotland,17,455.83,0,100.00%,Public
Apr-24,60414,60414,"ChargePlace Scotland, Fife Council",Fife,KY11 3EB,ChargePlace Scotland,1,32.49,0,100.00%,Public
Apr-24,60415,60415,"ChargePlace Scotland, Fife Council",Fife,KY11 4QY,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,60416,60416,"ChargePlace Scotland, Fife Council",Fife,KY5 9PE,ChargePlace Scotland,2,12.81,0,98.90%,Public
Apr-24,60417,60417,"ChargePlace Scotland, Falkirk Council",Falkirk,FK2 0AA,ChargePlace Scotland,23,661.58,0,100.00%,Public
Apr-24,60418,60418,"ChargePlace Scotland, Falkirk Council",Falkirk,FK2 2RN,ChargePlace Scotland,10,170.61,0,100.00%,Public
Apr-24,60421,60421,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA13 7QN,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,60422,60422,"ChargePlace Scotland, Fife Council",Fife,DD6 8HY,ChargePlace Scotland,59,2380.49,0,97.50%,Public
Apr-24,60427,60427,"ChargePlace Scotland, NHS TSH Internal",,ML11 8RP,ChargePlace Scotland,3,50.54,0,100.00%,Public
Apr-24,60428,60428,"NHS TSH Internal, ChargePlace Scotland",,ML11 8RP,ChargePlace Scotland,2,69.5,0,100.00%,Public
Apr-24,60429,60429,"ChargePlace Scotland, East Lothian Council",East Lothian,EH32 9QW,ChargePlace Scotland,9,283,0,100.00%,Public
Apr-24,60430,60430,"ChargePlace Scotland, East Lothian Council",East Lothian,EH33 1AE,ChargePlace Scotland,30,455.22,0,85.90%,Public
Apr-24,60437,60437,"THE CITY OF EDINBURGH COUNCIL, ChargePlace Scotland",City of Edinburgh,EH17 8QF,ChargePlace Scotland,48,804.12,2,100.00%,Public
Apr-24,60440,60440,"ChargePlace Scotland, THE CITY OF EDINBURGH COUNCIL",City of Edinburgh,EH11 3BQ,ChargePlace Scotland,29,488.12,0,100.00%,Public
Apr-24,60441,60441,"ChargePlace Scotland, THE CITY OF EDINBURGH COUNCIL",City of Edinburgh,EH11 3BQ,ChargePlace Scotland,50,806.91,0,88.50%,Public
Apr-24,60442,60442,"ChargePlace Scotland, THE CITY OF EDINBURGH COUNCIL",City of Edinburgh,EH11 3BQ,ChargePlace Scotland,49,749.44,1,100.00%,Public
Apr-24,60443,60443,"ChargePlace Scotland, West Lothian Council",West Lothian,EH47 9JD,ChargePlace Scotland,89,1727.02,0,97.40%,Public
Apr-24,60448,60448,"ChargePlace Scotland, West Lothian Council",West Lothian,EH54 6HR,ChargePlace Scotland,48,915.28,0,100.00%,Public
Apr-24,60449,60449,"ChargePlace Scotland, West Lothian Council",West Lothian,EH54 6HR,ChargePlace Scotland,69,927.68,0,100.00%,Public
Apr-24,60450,60450,"ChargePlace Scotland, West Lothian Council",West Lothian,EH54 6HR,ChargePlace Scotland,232,5496.23,0,93.20%,Public
Apr-24,60451,60451,"ChargePlace Scotland, West Lothian Council",West Lothian,EH54 6HR,ChargePlace Scotland,250,5962.54,0,92.60%,Public
Apr-24,60452,60452,"ChargePlace Scotland, West Lothian Council",West Lothian,EH47 0RQ,ChargePlace Scotland,43,1138.21,0,98.60%,Public
Apr-24,60466,60466,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL, Lotus Electrical",Dumfries and Galloway,DG13 0JN,ChargePlace Scotland,10,58.51,0,100.00%,Public
Apr-24,60467,60467,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL, Lotus Electrical",Dumfries and Galloway,DG13 0JN,ChargePlace Scotland,6,92.67,0,100.00%,Public
Apr-24,60468,60468,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL, Lotus Electrical",Dumfries and Galloway,DG13 0JN,ChargePlace Scotland,14,344.38,0,100.00%,Public
Apr-24,60469,60469,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL, Lotus Electrical",Dumfries and Galloway,DG13 0JN,ChargePlace Scotland,84,2032.17,0,97.50%,Public
Apr-24,60470,60470,"Aberdeenshire Council, ChargePlace Scotland",Aberdeenshire,AB52 6JD,ChargePlace Scotland,74,1740.05,0,100.00%,Public
Apr-24,60471,60471,"ChargePlace Scotland, Garadh a Bhagh a Tuath (Isle of Barra)",Na h-Eileanan an Iar,HS9 5YQ,ChargePlace Scotland,12,230.26,1,100.00%,Public
Apr-24,60472,60472,"ChargePlace Scotland, Garadh a Bhagh a Tuath (Isle of Barra)",Na h-Eileanan an Iar,HS9 5YQ,ChargePlace Scotland,5,117.09,1,99.80%,Public
Apr-24,60473,60473,"ChargePlace Scotland, East Lothian Council",East Lothian,EH21 8LE,ChargePlace Scotland,2,50.74,0,100.00%,Public
Apr-24,60474,60474,"ChargePlace Scotland, East Lothian Council",East Lothian,EH35 5LN,ChargePlace Scotland,30,701.63,0,100.00%,Public
Apr-24,60475,60475,"ChargePlace Scotland, East Lothian Council",East Lothian,EH32 9QS,ChargePlace Scotland,49,1227.33,0,100.00%,Public
Apr-24,60479,60479,"ChargePlace Scotland, West Lothian Council",West Lothian,EH48 3RJ,ChargePlace Scotland,20,307.4,0,100.00%,Public
Apr-24,60480,60480,THE CITY OF EDINBURGH COUNCIL,,EH16 4DS,ChargePlace Scotland,81,1381.75,0,100.00%,Public
Apr-24,60489,60489,"ChargePlace Scotland, Fife Council",Fife,KY11 7EJ,ChargePlace Scotland,377,11161.2,4,85.40%,Public
Apr-24,60490,60490,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G22 7QR,ChargePlace Scotland,7,139.69,1,100.00%,Public
Apr-24,60491,60491,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G22 7QR,ChargePlace Scotland,8,257.09,0,100.00%,Public
Apr-24,60492,60492,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G22 7QR,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,60493,60493,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G22 7QR,ChargePlace Scotland,1,38.9,0,100.00%,Public
Apr-24,60494,60494,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G22 7QR,ChargePlace Scotland,3,39.66,0,100.00%,Public
Apr-24,60495,60495,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G22 7QR,ChargePlace Scotland,1,16.22,0,100.00%,Public
Apr-24,60496,60496,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G22 7QR,ChargePlace Scotland,13,513.73,0,100.00%,Public
Apr-24,60497,60497,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G22 7QR,ChargePlace Scotland,2,49.28,0,100.00%,Public
Apr-24,60499,60499,"ChargePlace Scotland, Scottish Borders Council",Scottish Borders,TD2 6TD,ChargePlace Scotland,85,1526.71,1,98.50%,Public
Apr-24,60500,60500,"ChargePlace Scotland, Wheatley Group",City of Edinburgh,EH13 9DW,ChargePlace Scotland,7,155.36,0,100.00%,Public
Apr-24,60503,60503,"ChargePlace Scotland, West Lothian Council",West Lothian,EH49 7EQ,ChargePlace Scotland,59,1271.29,0,100.00%,Public
Apr-24,60504,60504,"ChargePlace Scotland, East Lothian Council",East Lothian,EH39 4QS,ChargePlace Scotland,41,853.93,0,100.00%,Public
Apr-24,60505,60505,"ChargePlace Scotland, East Lothian Council",East Lothian,EH39 4QS,ChargePlace Scotland,35,674.42,0,100.00%,Public
Apr-24,60511,60511,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG1 4UU,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,60513,60513,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG1 4UU,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,60516,60516,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG1 4UU,ChargePlace Scotland,1,4.42,1,100.00%,Public
Apr-24,60518,60518,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG1 4UU,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,60520,60520,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG1 4UU,ChargePlace Scotland,14,0,0,100.00%,Public
Apr-24,60522,60522,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG1 4UU,ChargePlace Scotland,3,21.57,1,100.00%,Public
Apr-24,60524,60524,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG1 4UU,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,60526,60526,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG1 4UU,ChargePlace Scotland,0,0,0,100.00%,Public
Apr-24,60527,60527,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG1 4UU,ChargePlace Scotland,1,61.86,0,100.00%,Public
