Month,Com-ID,Display ID,Owner,Local authority area,Postcode,Allowed vehicle type,Domain,Number of sessions,Power drawn (kWh),Number of tickets,Uptime
Nov-22,11266,51973,"ChargePlace Scotland, East Renfrewshire Council, BP - ChargePlace Scotland",East Renfrewshire,G78 3NN,Any,ChargePlace Scotland,241,3635.25,2,100.00%
Nov-22,11510,52555,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",West Lothian,EH55 8BP,Any,ChargePlace Scotland,104,1370.91,0,100.00%
Nov-22,11762,52176,"ChargePlace Scotland, North Ayrshire Council, BP - ChargePlace Scotland",North Ayrshire,KA22 8DU,Any,ChargePlace Scotland,66,911.02,1,100.00%
Nov-22,11763,52212,"ChargePlace Scotland, North Ayrshire Council, BP - ChargePlace Scotland",North Ayrshire,KA15 2DR,Any,ChargePlace Scotland,53,651.13,0,100.00%
Nov-22,11764,52213,"ChargePlace Scotland, North Ayrshire Council, BP - ChargePlace Scotland",North Ayrshire,KA12 8PS,Any,ChargePlace Scotland,54,628.28,1,100.00%
Nov-22,11765,52246,"ChargePlace Scotland, North Ayrshire Council, BP - ChargePlace Scotland",North Ayrshire,KA12 8EE,Any,ChargePlace Scotland,70,335.43,0,100.00%
Nov-22,11841,53037,"ChargePlace Scotland, Townhead Hotel, Townhead Hotel 7KW Tariff, BP - ChargePlace Scotland",Dumfries and Galloway,DG11 2AG,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,11882,52531,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",East Dunbartonshire,G66 4UA,Any,ChargePlace Scotland,242,3335.77,0,100.00%
Nov-22,11981,51488,"ChargePlace Scotland, Midlothian Council, Midlothian Council 11kW Tariff, BP - ChargePlace Scotland",Midlothian,EH22 3ND,Any,ChargePlace Scotland,47,1028.41,0,100.00%
Nov-22,12181,52170,"ChargePlace Scotland, East Dunbartonshire Council, BP - ChargePlace Scotland",East Dunbartonshire,G64 1NE,Any,ChargePlace Scotland,270,5209.69,0,100.00%
Nov-22,12182,52366,"ChargePlace Scotland, East Dunbartonshire Council, BP - ChargePlace Scotland",East Dunbartonshire,G64 4EH,Any,ChargePlace Scotland,285,2634.45,0,100.00%
Nov-22,12183,52728,"ChargePlace Scotland, East Dunbartonshire Council, BP - ChargePlace Scotland",East Dunbartonshire,G64 3HD,Any,ChargePlace Scotland,229,3252.04,0,100.00%
Nov-22,12184,52368,"ChargePlace Scotland, East Dunbartonshire Council, BP - ChargePlace Scotland",East Dunbartonshire,G65 8BQ,Any,ChargePlace Scotland,171,3917.25,0,100.00%
Nov-22,12186,52169,"ChargePlace Scotland, East Dunbartonshire Council, BP - ChargePlace Scotland",East Dunbartonshire,G66 7JJ,Any,ChargePlace Scotland,205,3876.24,0,100.00%
Nov-22,12187,52171,"ChargePlace Scotland, East Dunbartonshire Council, BP - ChargePlace Scotland",East Dunbartonshire,G62 7LN,Any,ChargePlace Scotland,404,4845.52,1,100.00%
Nov-22,12189,52370,"ChargePlace Scotland, East Dunbartonshire Council, BP - ChargePlace Scotland",East Dunbartonshire,G65 9TA,Any,ChargePlace Scotland,91,1329.39,2,100.00%
Nov-22,12190,52433,"ChargePlace Scotland, East Dunbartonshire Council, BP - ChargePlace Scotland",East Dunbartonshire,G66 1XQ,Any,ChargePlace Scotland,281,0,1,100.00%
Nov-22,12191,52434,"ChargePlace Scotland, East Dunbartonshire Council, BP - ChargePlace Scotland",East Dunbartonshire,G66 1XQ,Any,ChargePlace Scotland,284,4144.43,10,100.00%
Nov-22,12436,52554,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",South Lanarkshire,ML11 7JP,Any,ChargePlace Scotland,139,2230.36,1,100.00%
Nov-22,12492,52177,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Argyll and Bute,PA34 4LW,Any,ChargePlace Scotland,11,74.16,0,100.00%
Nov-22,12656,52425,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",North Lanarkshire,G33 6NQ,Any,ChargePlace Scotland,135,2868.43,1,100.00%
Nov-22,12657,52426,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",North Lanarkshire,G33 6NQ,Any,ChargePlace Scotland,205,4067.43,1,100.00%
Nov-22,12658,52427,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",North Lanarkshire,G33 6NQ,Any,ChargePlace Scotland,112,2475.4,2,100.00%
Nov-22,12659,52428,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",North Lanarkshire,G33 6NQ,Any,ChargePlace Scotland,206,3916.78,2,100.00%
Nov-22,12660,52429,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",North Lanarkshire,G33 6NQ,Any,ChargePlace Scotland,177,3497.3,1,100.00%
Nov-22,12782,52612,"Blackstone Propertys, Blackstone Propertys 22kW Tariff, ChargePlace Scotland, BP - ChargePlace Scotland",Glasgow City,G21 3HN,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,12784,52569,"ChargePlace Scotland, Old Course Ranfurly Golf Club, Old Course Ranfurly Golf Club Non-Members 7KW Tariff",Renfrewshire,PA11 3DE,Any,ChargePlace Scotland,0,0,0,100.00%
Nov-22,12787,52435,"ChargePlace Scotland, North Ayrshire Council, BP - ChargePlace Scotland",North Ayrshire,KA12 0TH,Any,ChargePlace Scotland,113,2074.63,0,100.00%
Nov-22,12788,52437,"ChargePlace Scotland, North Ayrshire Council, BP - ChargePlace Scotland",North Ayrshire,KA20 3HU,Any,ChargePlace Scotland,57,947.26,0,100.00%
Nov-22,12941,61284,"ChargePlace Scotland, Scottish Borders, Scottish Borders AC Tariff, BP - ChargePlace Scotland",Scottish Borders,EH45 8FB,Any,ChargePlace Scotland,150,2163.32,2,100.00%
Nov-22,12942,60869,"ChargePlace Scotland, Scottish Borders, Scottish Borders AC Tariff, BP - ChargePlace Scotland",Scottish Borders,TD9 9HT,Any,ChargePlace Scotland,59,829.54,0,100.00%
Nov-22,12944,61425,"ChargePlace Scotland, Scottish Borders, Scottish Borders AC Tariff, BP - ChargePlace Scotland",Scottish Borders,TD14 1BY,Any,ChargePlace Scotland,0,0,0,100.00%
