Month,Com-ID,Display ID,Owner,Local authority area,Postcode,Allowed vehicle type,Domain,Number of sessions,Power drawn (kWh),Number of Tickets,Uptime
Feb-23,50898,50898,"ChargePlace Scotland, Orkney Council Fast 22KW Tariff, Orkney Islands Council",Orkney Islands,KW17 2RD,Any,ChargePlace Scotland,0,0,1,100.00%
Feb-23,50900,50900,"ChargePlace Scotland, Comhairle Nan Eilean Siar, Comhairle Nan Eilean Siar 50kW Tariff",Na h-Eileanan an Iar,HS1 2BW,Any,ChargePlace Scotland,0,0,0,100.00%
Feb-23,APT50901,50901,"ChargePlace Scotland, West Lothian Council",West Lothian,EH48 4JL,Any,ChargePlace Scotland,111,2147.56,5,100.00%
Feb-23,APT50902,50902,"ChargePlace Scotland, Comhairle Nan Eilean Siar, Comhairle Nan Eilean Siar 22kW Tariff",Na h-Eileanan an Iar,HS2 0XB,Any,ChargePlace Scotland,0,0,0,100.00%
Feb-23,APT50903,50903,"ChargePlace Scotland, Comhairle Nan Eilean Siar",Na h-Eileanan an Iar,HS2 0XR,Any,ChargePlace Scotland,19,138.43,0,100.00%
Feb-23,APT50904,50904,"ChargePlace Scotland, Comhairle Nan Eilean Siar, Comhairle Nan Eilean Siar 22kW Tariff",Na h-Eileanan an Iar,HS5 3UB,Any,ChargePlace Scotland,2,1.8,0,100.00%
Feb-23,APT50905,50905,"ChargePlace Scotland, Comhairle Nan Eilean Siar, Comhairle Nan Eilean Siar 22kW Tariff",Na h-Eileanan an Iar,HS8 5JN,Any,ChargePlace Scotland,3,11.9,0,100.00%
Feb-23,50906,50906,"ChargePlace Scotland, Comhairle Nan Eilean Siar, Comhairle Nan Eilean Siar 50kW Tariff",Na h-Eileanan an Iar,HS6 5AD,Any,ChargePlace Scotland,19,516.96,1,100.00%
Feb-23,50907,50907,"ChargePlace Scotland, Comhairle Nan Eilean Siar, Comhairle Nan Eilean Siar 50kW Tariff",Na h-Eileanan an Iar,HS7 5PJ,Any,ChargePlace Scotland,50,837.24,7,100.00%
Feb-23,APT50910,50910,"ChargePlace Scotland, Dundee City Council, Dundee City Council 22kW Tariff",Dundee City,DD1 3DP,Any,ChargePlace Scotland,85,998.72,0,100.00%
Feb-23,50912,50912,"ChargePlace Scotland, Dundee City Council, Dundee City Council 22kW Tariff",Dundee City,DD2 3BH,Any,ChargePlace Scotland,21,291.42,0,100.00%
Feb-23,APT50914,50914,"ChargePlace Scotland, Dundee City Council, Dundee City Council 22kW Tariff",Dundee City,DD2 3BH,Any,ChargePlace Scotland,0,0,0,100.00%
Feb-23,APT50915,50915,"ChargePlace Scotland, Highlands and Islands Enterprise",Moray,IV23 2AB,Any,ChargePlace Scotland,3,0,1,100.00%
Feb-23,50916,50916,"ChargePlace Scotland, Moray Council",Moray,IV31 6NR,Any,ChargePlace Scotland,43,974.46,0,100.00%
Feb-23,APT50917,50917,Forth Valley College,Stirling,FK8 1SE,Any,ChargePlace Scotland,56,581.45,3,100.00%
Feb-23,APT50926,50923,"ChargePlace Scotland, Stirling Council",Stirling,FK9 4TW,Any,ChargePlace Scotland,6,105.16,0,100.00%
Feb-23,APT50927,50927,"ChargePlace Scotland, Stirling Council",Stirling,FK17 8DT,Any,ChargePlace Scotland,113,3260.11,2,100.00%
Feb-23,APT50930,50930,"ChargePlace Scotland, South Lanarkshire Council Public",South Lanarkshire,ML3 6EF,Any,ChargePlace Scotland,97,1481.52,0,100.00%
Feb-23,APT50931,50931,"ChargePlace Scotland, South Lanarkshire Council Public",South Lanarkshire,G71 7HH,Any,ChargePlace Scotland,144,2472.01,3,100.00%
Feb-23,APT50932,50932,"ChargePlace Scotland, West Dunbartonshire Council",West Dunbartonshire,G81 4HR,Any,ChargePlace Scotland,0,0,0,100.00%
Feb-23,50935,50935,"ChargePlace Scotland, Edinburgh Council, Edinburgh Council 22 kW",City of Edinburgh,EH28 8LS,Any,ChargePlace Scotland,73,27.53,0,100.00%
Feb-23,APT50936,50936,"ChargePlace Scotland, Edinburgh Council, Edinburgh Council 22 kW",City of Edinburgh,EH28 8LS,Any,ChargePlace Scotland,18,330.92,1,100.00%
Feb-23,APT50937,50937,"ChargePlace Scotland, Edinburgh Council, Edinburgh Council 22 kW",City of Edinburgh,EH14 3JF,Any,ChargePlace Scotland,25,487.22,0,100.00%
Feb-23,APT50938,50938,"ChargePlace Scotland, Edinburgh Council, Edinburgh Council 22 kW",City of Edinburgh,EH4 5EG,Any,ChargePlace Scotland,69,1351.04,3,100.00%
Feb-23,50939,50939,"ChargePlace Scotland, Edinburgh Council, Edinburgh Council Rapid",City of Edinburgh,EH14 4AT,Any,ChargePlace Scotland,185,2723.48,1,100.00%
Feb-23,APT50941,50941,"ChargePlace Scotland, University of St Andrews",Fife,KY16 9TF,Any,ChargePlace Scotland,106,1644.14,3,100.00%
Feb-23,APT50942,50942,"ChargePlace Scotland, University of St Andrews",Fife,KY16 9LY,Any,ChargePlace Scotland,58,1104.19,0,100.00%
Feb-23,APT50943,50943,"ChargePlace Scotland, University of St Andrews",Fife,KY16 9XW,Any,ChargePlace Scotland,67,1323.58,1,100.00%
Feb-23,APT50944,50944,"ChargePlace Scotland, University of St Andrews",Fife,KY16 9LY,Any,ChargePlace Scotland,64,1109.52,0,100.00%
Feb-23,APT50945,50945,"ChargePlace Scotland, Clyde Marine Training",Renfrewshire,G52 4JQ,Any,ChargePlace Scotland,0,0,0,100.00%
Feb-23,50946,50946,"ChargePlace Scotland, NHS Fife, NHS Fife 22KW Tariff",Fife,KY2 5BD,Any,ChargePlace Scotland,0,0,1,100.00%
Feb-23,APT50947,50947,"ChargePlace Scotland, ScotRail",Midlothian,EH22 1SB,Any,ChargePlace Scotland,132,2415.6,4,100.00%
Feb-23,APT50948,50948,"ChargePlace Scotland, ScotRail",Midlothian,EH22 3NX,Any,ChargePlace Scotland,167,4192.46,1,100.00%
Feb-23,APT50949,50949,ScotRail,Midlothian,EH22 4PE,Any,ChargePlace Scotland,162,2964.6,4,100.00%
Feb-23,APT50950,50950,ScotRail,Midlothian,EH23 4JX,Any,ChargePlace Scotland,148,2708.4,1,100.00%
Feb-23,50951,50951,"ChargePlace Scotland, ScotRail",Scottish Borders,TD1 2SQ,Any,ChargePlace Scotland,60,878.05,0,100.00%
Feb-23,APT50953,50953,"ChargePlace Scotland, Stirling Council",Stirling,FK8 1QZ,Any,ChargePlace Scotland,62,1472.11,0,100.00%
Feb-23,50954,50954,"Aberdeen Royal Infirmary, ChargePlace Scotland, NHS Grampian",Aberdeen City,AB25 2WA,Any,ChargePlace Scotland,167,3860.45,0,100.00%
